Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"How will the list 9, 4, 7, 5, 8, 6, 1, 2 look after the first pass of 3-sort (shellsort h=3) and after all passes are complete.
","First Pass: 5, 4, 6, 9, 8, 7, 1, 2Complete:1, 2, 6, 5, 4, 7, 9, 8
","First Pass: 5, 4, 6, 9, 8, 7, 1, 2Complete: 5, 4, 6, 1, 2, 7, 9, 8
","First Pass: 5, 4, 6, 1, 2, 7, 9, 8Complete: 1, 2, 6, 5, 4, 7, 9, 8
","First Pass: 5, 4, 6, 1, 2, 7, 9, 8Complete: 1, 2, 4, 5, 6, 7, 8, 9
","First Pass: 9, 4, 1, 2, 8, 6, 7, 5Complete:9, 4, 1, 2, 8, 6, 7, 5
","H-sort algorithm:Pick a value of h (for example = 3)For each element in the array if A[i] and A[i+h] are out of order then swap.So for9, 4, 7, 5, 8, 6, 1, 2Consider 9 and 5 (which is 3 places along from 5), they are out of place so swap5, 4, 7, 9, 8, 6, 1, 2Consider 4 and 8 - in order so dont swapConsider 7 and 6 - out of order so swap5, 4, 6, 9, 8, 7, 1, 2Consider 9 and 1 - out of order so swap5, 4, 6, 1, 8, 7, 9, 2Consider 8 and 2 - out of order so swap5, 4, 6, 1, 2, 7, 9, 8No more elements to consider so this is the first passSince there were swaps we must repeat againConsider 5 and 1 - out of order so swap1, 4, 6, 5, 2, 7, 9, 8Consider 4 and 2, out of order so swap1, 2, 6, 5, 4, 7, 9, 8Consider 6 and 7 - in order no swapConsider 5 and 9 - in order no swapConsider 4 and 8 - in order no swapSince there was a swap consider from start again1, 2, 6, 5, 4, 7, 9, 8Consider 1 and 5 - in order no swapConsider 2 and 4 - in order no swapConsider 6 and 7 - in order no swapConsider 5 and 9 - in order no swapConsider 4 and 8 - in order no swapComplete so after final pass it is 1, 2, 6, 5, 4, 7, 9, 8
",
"For the given AVL Tree, if 5 is inserted what rotation will be required to re-balance the tree?
","Left rotation about node 4.
","Right Rotation about node 6, then left rotation about node 4.
","Left Rotation about node 6, then right rotation about node 4.
","Right rotation about node 4, then left rotation about node 3.
","Left rotation about node 3.
","From the given figure you can see what the tree will look like after inserting 5. 4 is the first node we approach when rebalancing the tree after inserting 5 that has a balance value <=-2 or >= 2. So we have to rotate about 4. As the rightchild of 4 has a balance of -1, this is the case for a double rotation, right rotate the rightchild (node 6), then left rotate on node 4.
",
"If we take an Adjacency Matrix, A, that represents a graph, and multiply it by itself n times, we find out:
","which edges are n vertices apart
","which vertices are n edges apart
","which vertices are 2^n edges apart
","which edges are 2^n vertices apart
","nothing useful
","From the lecture notes we have:A^2 gives us the number of vertices that are 2 edges awayA^3 gives us the number of vertices that are 3 edges awayGeneralising this gives:A^n gives us the number of vertices that are n edges away
",
"Which of the following sorting algorithms are stable?
","Insertion sort
","Shell sort
","Heap Sort
","Quick sort
","All of the above
","Shell, heap and quick sort all involve 'swapping' elements, and so order of equal elements may change during the sorting process.
",
"In a SkipList of n elements, how many elements are expected in lane 1 and lane 3?
","n in lane 1, and n/2 in lane 3
","n/2 in lane 1, and n/8 in lane 3
","n in lane 1, and n/4 in lane 3
","n in lane 1, and n/8 in lane 3
","n/2 in lane 1, and n/4 in lane 3
","For each lane in a skip list, the expected number of elements in each lane halves:Lane 1: n (contains all elements)Lane 2: n/2Lane 3: n/4 (n/2 divided by 2)Lane 4: n/8 (n/4 divided by 2)
",
"Below is a description of a tree traversal, which type of traversal is it?1. Process the nodes in the left sub-tree.2. Process the nodes in the right sub-tree.3. Process the current node.
","Pre-Order Traversal
","Post-Order Traversal
","In-Order Traversal
","Level-Order Traversal
",,"[Taken From Lecture Notes]Pre-Order Traversal:1. Process the current node.2. Process the nodes in the left sub-tree.3. Process the nodes in the right sub-tree.Post-Order Traversal:1. Process the nodes in the left sub-tree.2. Process the nodes in the right sub-tree.3. Process the current node.In-Order Traversal:1. Process the nodes in the left sub-tree.2. Process the current node.3. Process the nodes in the right sub-tree.Level-Order Traversal:1. Use a temp pointer variable and a queue of node pointers.2. Insert the root node pointer into the queue.3. While the queue is not empty:� Dequeue the top node pointer and put it in temp.� Process the node.� Add the node�s children to queue if they are not NULL.
",
"What is an adjacency matrix?
","An array of elements indicating whether a node is directed
","An array of elements indicating whether there is an edge between vertex i and vertex j
","The matrix used to apply a convolution
","An array to store the nodes in a depth first traversal
",,"Graph lecture
",
"How many of the following sort methods are stable:Selection SortShell SortBubble SortHeap SortMerge Sort
","1
","2
","3
","All of them!
","None of them!
","From the given sort methods only Bubble sort and Merge sort are stable.
",
"Which of the following is a valid maxheap? (Assuminglexicographic order)
","
","
","
","
","
","A) Not correct as Zenith>Moss, and Quazar>MossB) Each node is greater than or equal to it's children and is a complete treeC) Arthur > AaronD) Wilson > JerryE) Not a complete tree. (Level 3 missing the left child of Jerry)
",
"Given the elements [14, 18, 3, 2, 1, -1, -4, 5, 20], find the final balanced AVL Tree.
","3 2 14 -1 1 5 18-4 20
","3 -1 14-4 1 5 18 2 20
","5 1 18 -1 2 14 20-4 3
","2 -1 14-4 1 3 18 5 20
","14 2 18 -1 3 20-4 1 5
","Insert 14, 18, 3, 2, 1: 14 3 18 21Rebalance at ""3"": 14 2 181 3Insert ""-1"": 14 2 18 1 3-1Rebalance at ""14"": 2 1 14-1 3 8Insert ""-4"": 2 1 14 -1 3 18-4Rebalance at ""1"": 2 -1 14-4 1 3 18Insert ""5"" & ""20"": 2 -1 14-4 1 3 18 5 20
",
"Insert the elements -3, -5, -1, 5, 0, 4, into a standard closed hashtable (of size 6) with linear probing (to the right) in that order.The hash function has the form h(x) = ((x+1)2-3) % 6.What does the final hashtable look like?
","4, -3, -5, -1, 5, 0
","-5, -3, 5, -1, 0, 4
","0, -3, -5, 4, -1, 5
","4, -3, -5, 5, -1, 0
","0, -5, -3, 4, -1, 5
","h(-3) = 1. Insert into slot 1.h(-5) = 1. Slot 1 is taken so insert into slot 2.h(-1) = 3. Insert into slot 3.h(5) = 3. Slot 3 is taken so insert into slot 4.h(0) = 4. Slot 4 is taken so insert into slot 5.h(4) = 4. Slot 4 is taken and so is slot 5. So insert into slot 0. (Also last free slot).If you chose B then you probed in the wrong direction.
","jma52 (jma52 - permission to this course revoked)
"
"Insert the elements -3, -5, -1, 5, 0, 4, into a standard closed hashtable (of size 6) with linear probing (to the right) in that order.The hash function has the form h(x) = ((x+1)2-3) % 6.What does the final hashtable look like?
","4, -3, -5, -1, 5, 0
","-5, -3, 5, -1, 0, 4
","0, -3, -5, 4, -1, 5
","4, -3, -5, 5, -1, 0
","0, -5, -3, 4, -1, 5
","h(-3) = 1. Insert into slot 1.h(-5) = 1. Slot 1 is taken so insert into slot 2.h(-1) = 3. Insert into slot 3.h(5) = 3. Slot 3 is taken so insert into slot 4.h(0) = 4. Slot 4 is taken so insert into slot 5.h(4) = 4. Slot 4 is taken and so is slot 5. So insert into slot 0. (Also last free slot).If you chose B then you probed in the wrong direction.
","jma52 (jma52 - permission to this course revoked)
"
"The runtime for the following code fragment is?(f(m,n)). What is f(m,n)?int a;for (int i = -5; i < n; i++) for (int j = 1; j < 2i+1; 2*j) for (int k = 1; k < n-1; 3*k) a=a+1; for (int l = 0; l < m; 5*l) a=a+j;return a;
","?(m2log(n2))
","?(n2log(nm))
","?(n log(log(nm)))
","?(nlog(n)log(nm))
","?(n2(n+m))
","First loop has?(n) operations.Second loop has?(n) operations.Third loop has?(log(n)) operations.Fourth loop has?(log(m)) operations.In the second loop we have the sum of the third and fourth loops which have different bases. So we get?(log(n) + log(m)) operations. Bases of logarithms do not matter so we can use logarithmic laws to get?(log(n) + log(m)) =?(log(nm)).Then multiply these loops together to get?(n*log(n)*log(nm)) =?(n log(n) log(nm)).
",
"How do you extract the biggest item from a Maxheap?
","Replace the root with the lowest right node and then swap the moved value with the larger of it�s children until it is the greatest.
","Replace the root with the lowest left node and then swap the moved value with the larger of it�s children until it is the greatest.
","Replace the root with the lowest right node.
","Replace the root with the lowest right node.
",,"This ensures the highest value is at the top
",
"Which value would signify that a re-balance is needed in an AVL tree?
","0
","1
","2
","-1
",,"Any value greater than 1 or smaller than -1 means that a re-balance is needed.
",
"Which is not a form of tree traversal
","Pre-order
","Post-order
","In-order
","By-order
","Level-order traversal
","By-order is not a traversal method.
",
"Which sort uses h-sorting?
","Merge Sort
","Shell Sort
","Bubble Sort
","Insertion Sort
","Quick Sort
","Shell sort uses h sort multiple times with a range of values, always ending in 1.
",
"See the incomplete java code below for the classes ListNode and LinkedList:class ListNode { Object element; ListNode next; ListNode(Object e, ListNode n) { element = e; next = n; }}class LinkedList { private ListNode head = null; private int n = 0; // n is the list size public Object get(int i) { if (i<0 || i>=n) { // �error! } ListNode node = head; X return node.element; }}The method get finds nodeiin the linked list and outputs its element (get(0) outputs head.element). Which code should go at the place marked X for the method to work correctly?
","for (int j=0; j<i-1; j++) { node = node.next;}
","for (int j=0; j<i; j++) { node = node.next;}
","for (int j=0; j<i+1; j++) { node = node.next;}
","for (int j=0; j<i+1; j++) { node.next = node;}
","for (int j=0; j<i; j++) { node.next = node;}
","(d) and (e) are wrong because the assignment ""node.next = node"" is incorrect - this line would repeatedly make the assignment head.next = head.To find node i, the line ""node = node.next"" needs to be executed itimes. Examples:If i=0, the line ""node = node.next"" should not be executed because get(0) should outputhead.elementIf i=2, the line ""node = node.next"" should be executed 2 times so that node=head.next.next, which is node 2 in the listWe are left with (a), (b) and (c).(a) executes the line ""node = node.next"" (i-1) times(b) executes the line ""node = node.next"" i times(c) executes the line ""node = node.next"" (i+1) timesTherefore the answer is (b).
",
"What type of rotation is needed to balance the following unbalanced AVL tree? 5 / \ 2 7 / \ 1 3 \ 4
","Right (Clockwise) rotation
","Left(Anti-Clockwise) rotation
","Right-Left (Clockwise Anti-Clockwise) rotation
","Left-Right (Anti-Clockwise Clockwise) rotation
",,"Starting Tree: Left(Anti-clockwise) rotation on the sub-tree root 2: Then a right (clockwise) rotation on the root of the tree: 5 5 3 / \ / \ / \ 2 7 3 7 2 5 / \ / \ / / \ 1 3 2 4 1 4 7 \ / 4 1
",
